1024, 0.60, 8, 556, 561
1024, 0.60, 16, 306, 310
2048, 0.60, 2, 2312, 2325
2048, 0.60, 4, 2107, 2120
2048, 0.60, 8, 2409, 2421
2048, 0.60, 16, 2208, 2223
4096, 0.60, 2, 7918, 7985
4096, 0.60, 4, 6523, 6574
4096, 0.60, 8, 5401, 5435
4096, 0.60, 16, 7191, 7226
7680, 0.60, 2, 34142, 34258
7680, 0.60, 4, 23096, 23231
7680, 0.60, 8, 18969, 19100
7680, 0.60, 16, 29403, 29521
10240, 0.60, 2, 52544, 52885
10240, 0.60, 4, 63088, 63298
10240, 0.60, 8, 41198, 41530
10240, 0.60, 16, 33533, 33821
12800, 0.60, 2, 73299, 73627
12800, 0.60, 4, 89477, 90077
12800, 0.60, 8, 91616, 92106
12800, 0.60, 16, 57995, 58331
1024, 0.60, 2, 538, 542
1024, 0.60, 4, 549, 554
1024, 0.60, 8, 562, 568
1024, 0.60, 16, 496, 501
2048, 0.60, 2, 1573, 1583
2048, 0.60, 4, 2307, 2320
2048, 0.60, 8, 1800, 1822
2048, 0.60, 16, 2193, 2205
4096, 0.60, 2, 8475, 8509
4096, 0.60, 4, 7397, 7476
4096, 0.60, 8, 9194, 9232
4096, 0.60, 16, 5197, 5232
7680, 0.60, 2, 17150, 17279
7680, 0.60, 4, 48232, 48352
7680, 0.60, 8, 32098, 32288
7680, 0.60, 16, 18154, 18306
10240, 0.60, 2, 47085, 47420
10240, 0.60, 4, 74608, 74819
10240, 0.60, 8, 35311, 35691
10240, 0.60, 16, 57393, 57596
12800, 0.60, 2, 68870, 69273
12800, 0.60, 4, 88603, 89144
12800, 0.60, 8, 89686, 90071
